Country,Trans-Pacific Partnership,NATO Article 5,Iran Nuclear Deal,UN Relief and Works Agency,UNESCO,INF Treaty,G-7 Joint Statement,UN Human Rights Council,NAFTA,Paris Climate Agreement,Open Skies Treaty,WHO
Afghanistan,#N/A,#N/A,#N/A,#N/A,Member,#N/A,#N/A,Currently serving / previously fulfilled elected term,#N/A,Ratifier,#N/A,Member
Albania,#N/A,Affirms,#N/A,#N/A,Member,#N/A,#N/A,Currently serving / previously fulfilled elected term,#N/A,Ratifier,#N/A,Member
Algeria,#N/A,#N/A,#N/A,#N/A,Member,#N/A,#N/A,Currently serving / previously fulfilled elected term,#N/A,Ratifier,#N/A,Member
Andorra,#N/A,#N/A,#N/A,#N/A,Member,#N/A,#N/A,#N/A,#N/A,Ratifier,#N/A,Member
Angola,#N/A,#N/A,#N/A,#N/A,Member,#N/A,#N/A,Currently serving / previously fulfilled elected term,#N/A,Signatory,#N/A,Member
Anguilla,#N/A,#N/A,#N/A,#N/A,Associate Member,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Antigua and Barbuda,#N/A,#N/A,#N/A,#N/A,Member,#N/A,#N/A,#N/A,#N/A,Ratifier,#N/A,Member
Argentina,#N/A,#N/A,#N/A,#N/A,Member,#N/A,#N/A,Currently serving / previously fulfilled elected term,#N/A,Ratifier,#N/A,Member
Armenia,#N/A,#N/A,#N/A,#N/A,Member,#N/A,#N/A,Currently serving / previously fulfilled elected term,#N/A,Ratifier,#N/A,Member
Aruba,#N/A,#N/A,#N/A,#N/A,Associate Member,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Australia,Signatory,#N/A,#N/A,#N/A,Member,#N/A,#N/A,Currently serving / previously fulfilled elected term,#N/A,Ratifier,#N/A,Member
Austria,#N/A,#N/A,Signatory,#N/A,Member,#N/A,#N/A,Currently serving / previously fulfilled elected term,#N/A,Ratifier,#N/A,Member
Azerbaijan,#N/A,#N/A,#N/A,#N/A,Member,#N/A,#N/A,Currently serving / previously fulfilled elected term,#N/A,Ratifier,#N/A,Member
Bahamas,#N/A,#N/A,#N/A,#N/A,Member,#N/A,#N/A,Currently serving / previously fulfilled elected term,#N/A,Ratifier,#N/A,Member
Bahrain,#N/A,#N/A,#N/A,#N/A,Member,#N/A,#N/A,Currently serving / previously fulfilled elected term,#N/A,Ratifier,#N/A,Member
Bangladesh,#N/A,#N/A,#N/A,#N/A,Member,#N/A,#N/A,Currently serving / previously fulfilled elected term,#N/A,Ratifier,#N/A,Member
Barbados,#N/A,#N/A,#N/A,#N/A,Member,#N/A,#N/A,#N/A,#N/A,Ratifier,#N/A,Member
Belarus,#N/A,#N/A,#N/A,#N/A,Member,#N/A,#N/A,#N/A,#N/A,Ratifier,Ratifier,Member
Belgium,#N/A,Affirms,Signatory,#N/A,Member,#N/A,#N/A,Currently serving / previously fulfilled elected term,#N/A,Ratifier,Ratifier,Member
Belize,#N/A,#N/A,#N/A,#N/A,Member,#N/A,#N/A,#N/A,#N/A,Ratifier,#N/A,Member
Benin,#N/A,#N/A,#N/A,#N/A,Member,#N/A,#N/A,Currently serving / previously fulfilled elected term,#N/A,Ratifier,#N/A,Member
Bhutan,#N/A,#N/A,#N/A,#N/A,Member,#N/A,#N/A,#N/A,#N/A,Ratifier,#N/A,Member
Bolivia,#N/A,#N/A,#N/A,#N/A,Member,#N/A,#N/A,Currently serving / previously fulfilled elected term,#N/A,Ratifier,#N/A,Member
Bosnia,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Currently serving / previously fulfilled elected term,#N/A,#N/A,#N/A,#N/A
Bosnia and Herzegovina,#N/A,#N/A,#N/A,#N/A,Member,#N/A,#N/A,#N/A,#N/A,Ratifier,Ratifier,Member
Botswana,#N/A,#N/A,#N/A,#N/A,Member,#N/A,#N/A,Currently serving / previously fulfilled elected term,#N/A,Ratifier,#N/A,Member
Brazil,#N/A,#N/A,#N/A,Member,Member,#N/A,#N/A,Currently serving / previously fulfilled elected term,#N/A,Ratifier,#N/A,Member
British Virgin Islands,#N/A,#N/A,#N/A,#N/A,Associate Member,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Brunei,Signatory,#N/A,#N/A,#N/A,Member,#N/A,#N/A,#N/A,#N/A,Ratifier,#N/A,Member
Bulgaria,#N/A,Affirms,Signatory,#N/A,Member,#N/A,#N/A,Currently serving / previously fulfilled elected term,#N/A,Ratifier,Ratifier,Member
Burkina Faso,#N/A,#N/A,#N/A,#N/A,Member,#N/A,#N/A,Currently serving / previously fulfilled elected term,#N/A,Ratifier,#N/A,Member
Burundi,#N/A,#N/A,#N/A,#N/A,Member,#N/A,#N/A,Currently serving / previously fulfilled elected term,#N/A,Ratifier,#N/A,Member
Cabo Verde,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Member
Cambodia,#N/A,#N/A,#N/A,#N/A,Member,#N/A,#N/A,#N/A,#N/A,Ratifier,#N/A,Member
Cameroon,#N/A,#N/A,#N/A,#N/A,Member,#N/A,#N/A,Currently serving / previously fulfilled elected term,#N/A,Ratifier,#N/A,Member
Canada,Signatory,Affirms,#N/A,#N/A,Member,#N/A,Agreed,Currently serving / previously fulfilled elected term,Ratifier,Ratifier,Ratifier,Member
Cape Verde,#N/A,#N/A,#N/A,#N/A,Member,#N/A,#N/A,#N/A,#N/A,Ratifier,#N/A,#N/A
Cayman Islands,#N/A,#N/A,#N/A,#N/A,Associate Member,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Central African Republic,#N/A,#N/A,#N/A,#N/A,Member,#N/A,#N/A,#N/A,#N/A,Ratifier,#N/A,Member
Chad,#N/A,#N/A,#N/A,#N/A,Member,#N/A,#N/A,#N/A,#N/A,Ratifier,#N/A,Member
Chile,Signatory,#N/A,#N/A,#N/A,Member,#N/A,#N/A,Currently serving / previously fulfilled elected term,#N/A,Ratifier,#N/A,Member
China,#N/A,#N/A,Signatory,#N/A,Member,#N/A,#N/A,Currently serving / previously fulfilled elected term,#N/A,Ratifier,#N/A,Member
Colombia,#N/A,#N/A,#N/A,#N/A,Member,#N/A,#N/A,#N/A,#N/A,Ratifier,#N/A,Member
Comoros,#N/A,#N/A,#N/A,#N/A,Member,#N/A,#N/A,#N/A,#N/A,Ratifier,#N/A,Member
Cook Islands,#N/A,#N/A,#N/A,#N/A,Member,#N/A,#N/A,#N/A,#N/A,Ratifier,#N/A,Member
Costa Rica,#N/A,#N/A,#N/A,#N/A,Member,#N/A,#N/A,Currently serving / previously fulfilled elected term,#N/A,Ratifier,#N/A,Member
Côte d'Ivoire,#N/A,#N/A,#N/A,#N/A,Member,#N/A,#N/A,Currently serving / previously fulfilled elected term,#N/A,Ratifier,#N/A,Member
Croatia,#N/A,Affirms,Signatory,#N/A,Member,#N/A,#N/A,Currently serving / previously fulfilled elected term,#N/A,Ratifier,Ratifier,Member
Cuba,#N/A,#N/A,#N/A,#N/A,Member,#N/A,#N/A,Currently serving / previously fulfilled elected term,#N/A,Ratifier,#N/A,Member
Curacao,#N/A,#N/A,#N/A,#N/A,Associate Member,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Cyprus,#N/A,#N/A,Signatory,#N/A,Member,#N/A,#N/A,#N/A,#N/A,Ratifier,#N/A,Member
Czech Republic,#N/A,Affirms,Signatory,#N/A,#N/A,#N/A,#N/A,Currently serving / previously fulfilled elected term,#N/A,Ratifier,Ratifier,Member
Czechia,#N/A,#N/A,#N/A,#N/A,Member,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Democratic Republic of the Congo,#N/A,#N/A,#N/A,#N/A,Member,#N/A,#N/A,Currently serving / previously fulfilled elected term,#N/A,Ratifier,#N/A,Member
Denmark,#N/A,Affirms,Signatory,#N/A,Member,#N/A,#N/A,Currently serving / previously fulfilled elected term,#N/A,Ratifier,Ratifier,Member
Djibouti,#N/A,#N/A,#N/A,#N/A,Member,#N/A,#N/A,Currently serving / previously fulfilled elected term,#N/A,Ratifier,#N/A,Member
Dominica,#N/A,#N/A,#N/A,#N/A,Member,#N/A,#N/A,#N/A,#N/A,Ratifier,#N/A,Member
Dominican Republic,#N/A,#N/A,#N/A,#N/A,Member,#N/A,#N/A,#N/A,#N/A,Ratifier,#N/A,Member
East Timor,#N/A,#N/A,#N/A,#N/A,Member,#N/A,#N/A,#N/A,#N/A,Ratifier,#N/A,Member
Ecuador,#N/A,#N/A,#N/A,#N/A,Member,#N/A,#N/A,Currently serving / previously fulfilled elected term,#N/A,Ratifier,#N/A,Member
Egypt,#N/A,#N/A,#N/A,#N/A,Member,#N/A,#N/A,Currently serving / previously fulfilled elected term,#N/A,Ratifier,#N/A,Member
El Salvador,#N/A,#N/A,#N/A,#N/A,Member,#N/A,#N/A,Currently serving / previously fulfilled elected term,#N/A,Ratifier,#N/A,Member
Equatorial Guinea,#N/A,#N/A,#N/A,#N/A,Member,#N/A,#N/A,#N/A,#N/A,Ratifier,#N/A,Member
Eritrea,#N/A,#N/A,#N/A,#N/A,Member,#N/A,#N/A,Currently serving / previously fulfilled elected term,#N/A,Signatory,#N/A,Member
Estonia,#N/A,Affirms,Signatory,#N/A,Member,#N/A,#N/A,Currently serving / previously fulfilled elected term,#N/A,Ratifier,Ratifier,Member
Eswatini,#N/A,#N/A,#N/A,#N/A,Member,#N/A,#N/A,#N/A,#N/A,Ratifier,#N/A,Member
