Country,Code,Trans-Pacific Partnership,NATO Article 5,Iran Nuclear Deal,UN Relief and Works Agency,UNESCO,INF Treaty,G-7 Joint Statement,UN Human Rights Council,NAFTA,Paris Climate Agreement,Open Skies Treaty,WHO
Afghanistan,AFG,#N/A,#N/A,#N/A,#N/A,Member,#N/A,#N/A,Currently serving / previously fulfilled elected term,#N/A,Ratifier,#N/A,Member
Albania,ALB,#N/A,Affirms,#N/A,#N/A,Member,#N/A,#N/A,Currently serving / previously fulfilled elected term,#N/A,Ratifier,#N/A,Member
Algeria,DZA,#N/A,#N/A,#N/A,#N/A,Member,#N/A,#N/A,Currently serving / previously fulfilled elected term,#N/A,Ratifier,#N/A,Member
Andorra,AND,#N/A,#N/A,#N/A,#N/A,Member,#N/A,#N/A,#N/A,#N/A,Ratifier,#N/A,Member
Angola,AGO,#N/A,#N/A,#N/A,#N/A,Member,#N/A,#N/A,Currently serving / previously fulfilled elected term,#N/A,Signatory,#N/A,Member
Anguilla,AIA,#N/A,#N/A,#N/A,#N/A,Associate Member,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Antigua and Barbuda,ATG,#N/A,#N/A,#N/A,#N/A,Member,#N/A,#N/A,#N/A,#N/A,Ratifier,#N/A,Member
Argentina,ARG,#N/A,#N/A,#N/A,#N/A,Member,#N/A,#N/A,Currently serving / previously fulfilled elected term,#N/A,Ratifier,#N/A,Member
Armenia,ARM,#N/A,#N/A,#N/A,#N/A,Member,#N/A,#N/A,Currently serving / previously fulfilled elected term,#N/A,Ratifier,#N/A,Member
Aruba,ABW,#N/A,#N/A,#N/A,#N/A,Associate Member,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Australia,AUS,Signatory,#N/A,#N/A,Member,Member,#N/A,#N/A,Currently serving / previously fulfilled elected term,#N/A,Ratifier,#N/A,Member
Austria,AUT,#N/A,#N/A,Signatory,#N/A,Member,#N/A,#N/A,Currently serving / previously fulfilled elected term,#N/A,Ratifier,#N/A,Member
Azerbaijan,AZE,#N/A,#N/A,#N/A,#N/A,Member,#N/A,#N/A,Currently serving / previously fulfilled elected term,#N/A,Ratifier,#N/A,Member
